model,auprc_mean,auprc_std,auprc_formatted,f1_mean,f1_std,f1_formatted,precision_mean,precision_std,precision_formatted,recall_mean,recall_std,recall_formatted,roc_auc_mean,roc_auc_std,roc_auc_formatted,recall_at_k_mean,recall_at_k_std,recall_at_k_formatted,precision_at_k_mean,precision_at_k_std,precision_at_k_formatted
logistic_regression,0.6809594523169622,0.03888609773858962,0.6810 +/- 0.0389,0.5354544441359856,0.011559905417080678,0.5355 +/- 0.0116,0.3921042859521003,0.012613278406088165,0.3921 +/- 0.0126,0.8457969326344399,0.035655849127475735,0.8458 +/- 0.0357,0.9273909704978669,0.009339224273543764,0.9274 +/- 0.0093,0.6086973403222675,0.03321236328888507,0.6087 +/- 0.0332,0.6086973403222675,0.03321236328888507,0.6087 +/- 0.0332
catboost,0.6614969372643806,0.050719072906900746,0.6615 +/- 0.0507,0.6047906759272963,0.038271716596312406,0.6048 +/- 0.0383,0.5649654010799807,0.027462561572951915,0.5650 +/- 0.0275,0.6522811104639875,0.0614871639311235,0.6523 +/- 0.0615,0.9265744395072346,0.011994616365252156,0.9266 +/- 0.0120,0.6048145991069696,0.04391674685766663,0.6048 +/- 0.0439,0.6048145991069696,0.04391674685766663,0.6048 +/- 0.0439
rf_centrality,0.6561193941502974,0.059091432851270914,0.6561 +/- 0.0591,0.5008199322535372,0.05147061425116914,0.5008 +/- 0.0515,0.7750085684028112,0.053887288252668884,0.7750 +/- 0.0539,0.3716754028344011,0.05031165964086898,0.3717 +/- 0.0503,0.931171354513889,0.01015673688632235,0.9312 +/- 0.0102,0.6048145991069696,0.05208567455727063,0.6048 +/- 0.0521,0.6048145991069696,0.05208567455727063,0.6048 +/- 0.0521
random_forest,0.6516560630341971,0.05561532956928081,0.6517 +/- 0.0556,0.5408180939709953,0.07985333725995387,0.5408 +/- 0.0799,0.7624362767140795,0.08280931885801096,0.7624 +/- 0.0828,0.4210444573869152,0.07681064151206635,0.4210 +/- 0.0768,0.9295401818340805,0.008805348440386652,0.9295 +/- 0.0088,0.5988351776354106,0.053817755643615184,0.5988 +/- 0.0538,0.5988351776354106,0.053817755643615184,0.5988 +/- 0.0538
